 time            vo1             p1              p2             
 1.64830338e-06  1.02881415e+00  0.00000000e+00  1.80000000e+00 
 1.65830338e-06  1.03386291e+00  0.00000000e+00  1.80000000e+00 
 1.66830338e-06  1.03779401e+00  0.00000000e+00  1.80000000e+00 
 1.67830338e-06  1.04085484e+00  0.00000000e+00  1.80000000e+00 
 1.68830338e-06  1.04323808e+00  0.00000000e+00  1.80000000e+00 
 1.69830338e-06  1.04509372e+00  0.00000000e+00  1.80000000e+00 
 1.70830338e-06  1.04653856e+00  0.00000000e+00  1.80000000e+00 
 1.71830338e-06  1.04766354e+00  0.00000000e+00  1.80000000e+00 
 1.72830338e-06  1.04853948e+00  0.00000000e+00  1.80000000e+00 
 1.73830338e-06  1.04922151e+00  0.00000000e+00  1.80000000e+00 
 1.74830338e-06  1.04975254e+00  0.00000000e+00  1.80000000e+00 
 1.75830338e-06  1.05016602e+00  0.00000000e+00  1.80000000e+00 
 1.76830338e-06  1.05048797e+00  0.00000000e+00  1.80000000e+00 
 1.77830338e-06  1.05073864e+00  0.00000000e+00  1.80000000e+00 
 1.78830338e-06  1.05093382e+00  0.00000000e+00  1.80000000e+00 
 1.79830338e-06  1.05108579e+00  0.00000000e+00  1.80000000e+00 
 1.80830338e-06  1.05120412e+00  0.00000000e+00  1.80000000e+00 
 1.81830338e-06  1.05129626e+00  0.00000000e+00  1.80000000e+00 
 1.82830338e-06  1.05136800e+00  0.00000000e+00  1.80000000e+00 
 1.83830338e-06  1.05142385e+00  0.00000000e+00  1.80000000e+00 
 1.84830338e-06  1.05146735e+00  0.00000000e+00  1.80000000e+00 
 1.85830338e-06  1.05150121e+00  0.00000000e+00  1.80000000e+00 
 1.86830338e-06  1.05152758e+00  0.00000000e+00  1.80000000e+00 
 1.87830338e-06  1.05154811e+00  0.00000000e+00  1.80000000e+00 
 1.88830338e-06  1.05156410e+00  0.00000000e+00  1.80000000e+00 
 1.89830338e-06  1.05157655e+00  0.00000000e+00  1.80000000e+00 
